Site_Grouping,Site_ID,Stream_Name,Sample_Date,Aluminum_total,Arsenic,Barium,Calcium_total,Iron_total,Lithium,Magnesium_total,Manganese_total,Selenium,Sodium_total,Strontium,Bromide,Chloride,Sulfate,Acidity_total,Alkalinity_total,Specific_Conductivity,Total_Dissolved_Solids
UIC_Downstream,UIC-1,Wolf_Creek,3/21/2013,0.11,,,,43.43,,,3.6,,,,,283.06,,,,,
UIC_Downstream,UIC-1,Wolf_Creek,4/3/2013,0.066,2.4,0.681,30.6,71.8,,12.1,3.55,0,117,0.884,2.3,301,2.6,167,50.2,1150,578
UIC_Downstream,UIC-1,Wolf_Creek,3/13/2014,0.2,,,13.38,11.5,11.61,5.5,1.73,,54.46,,,4.84,127.58,4.91,,498,314
UIC_Downstream,UIC-1,Wolf_Creek,4/10/2014,,,0.67,,17.2,,,2.35,,67.9,,,186,,,,,375
UIC_Downstream,UIC-1,Wolf_Creek,1/6/2015,0.055,0,0.752,18.6,20.5,0,6.75,2.27,0,65,0.636,1.46,150,2.81,74.1,20.2,689,374
UIC_Downstream,UIC-1,Wolf_Creek,6/29/2015,1.31,0,1.36,26.5,227,0,9.4,3.1,0,65.7,0.665,,,,,,,
UIC_Upstream,UIC-UpS-1,Wolf_Creek,8/14/2015,0.022,0,0.046,19.6,0.074,0,11.3,0.015,0,1.84,0.118,0,0.6,70.8,2.8,29.8,242,188
UIC_Upstream,UIC-UpS-1.2,Wolf_Creek,9/24/2015,1.47,0,0.065,13.8,2.47,0,8.22,0.334,0,1.95,0.092,0,0.65,32,3.6,37.7,163,116
AMD_Site,S-1,Wolf_Creek,12/11/2009,13.6,,,,75.5,,,11.2,,,,,,,,,,
AMD_Site,S-1,Wolf_Creek,12/17/2009,,,,,,,,,,,,,,1430,486,2.86,2610,
AMD_Site,S-1,Wolf_Creek,12/19/2011,24,,,,130,,,13,,,,,,1760,944,2.86,,1950
AMD_Site,S-1,Wolf_Creek,5/21/2014,20.8,,,,102,,,10.5,,,,,,1370,,,2220,
AMD_Site,S-1,Wolf_Creek,1/6/2015,14,,,,106,,,8.85,,,,,2.09,1150,419,,2090,
AMD_Site,S-1,Wolf_Creek,6/4/2015,23.3,,0.027,,106,,,11.7,,,1.15,0,2.19,1380,568,0,2560,
AMD_Site,S-1,Wolf_Creek,6/12/2015,19.3,0,0.026,258,122,0.382,118,13.5,0,46.7,1.47,0,3.53,2060,,,2960,2280
AMD_Site,S-1,Wolf_Creek,8/14/2015,15.3,,,,88.9,,,12.9,,,,0,2.42,1370,539,0,2930,
AMD_Site,S-1,Wolf_Creek,9/24/2015,13.2,0,0.009,195,68.7,0.344,77.7,10.6,0,42.5,1.44,0,3.1,1670,554,0,3150,2530
AMD_Site,S-1,Wolf_Creek,11/24/2009,18.67,,,237.6,128.9,,118,13.18,,46.06,,,1.94,1496.53,481.2,0.05,4630,2599
AMD_Site,S-1,Wolf_Creek,1/27/2010,25.87,,,76.63,112.8,,157.1,10.18,,23.55,,,2.82,1048.59,347.17,0.31,1850,1586
AMD_Site,S-1,Wolf_Creek,2/24/2010,30.24,,,208.3,177.1,,98.53,12.38,,29.83,,,6.09,1789.29,461.81,0.31,3070,2008
AMD_Site,S-1,Wolf_Creek,3/25/2010,38.62,,,186.9,138.3,,92.54,11.33,,28.92,,,5.45,1384.33,507.18,0.31,3250,2020
AMD_Site,S-1,Wolf_Creek,4/27/2010,30.25,,,272.5,163.4,,118.5,14.35,,52.1,,,3.14,1760,520,0.31,4140,2492
AMD_Site,S-1,Wolf_Creek,5/31/2010,27.64,,,259.7,129.6,,122.5,15.4,,49.87,,,3.39,1734.07,524.13,0.31,3940,2437
AMD_Site,S-1,Wolf_Creek,6/23/2010,20.22,,,241.7,113.9,,114.4,14.81,,48.19,,,3.63,1879.93,454.63,0.31,4100,2139
AMD_Site,S-1,Wolf_Creek,7/29/2010,17.38,,,215.3,92.29,,94.86,12.73,,38.61,,,6.98,1473.63,462.16,0.31,3670,2097
AMD_Site,S-1,Wolf_Creek,8/25/2010,11.18,,,171.2,66.49,,76.67,8.69,,27.5,,,10.36,1191.18,278.57,0.31,1955,1421
AMD_Site,S-1,Wolf_Creek,10/1/2010,15.57,,,264.11,116.8,,119,13.46,,,,,20.3,1603.4,494.36,0.31,4380,2377
AMD_Site,S-1,Wolf_Creek,11/8/2010,20.9,,,292.4,140.9,,136.6,15,,53,,,3.6,1833.6,469.61,0.31,3880,2387
AMD_Site,S-1,Wolf_Creek,1/31/2011,8.22,,,87.93,42.6,,34.82,4.31,,11.88,,,5.72,596.63,97.87,0.31,1045,678
AMD_Site,S-1,Wolf_Creek,3/16/2011,30.01,,,188.5,111.8,,93.87,11.13,,29.54,,,6.2,1131.3,452.65,0.31,3060,1886
AMD_Site,S-1,Wolf_Creek,4/18/2011,46.14,,,229.9,156.8,,113.3,13.35,,34.45,,,3,1977.4,709.03,0.31,3760,2536
AMD_Site,S-1,Wolf_Creek,7/19/2011,23.49,,,239,115.1,,125.5,13.88,,50.71,,,3.8,1698,665.02,0.31,4760,2383
AMD_Site,S-1,Wolf_Creek,9/23/2011,8.68,,,152.2,62.14,,66.17,7.56,,28.1,,,3.08,951.82,317.54,0.31,1900,1425
AMD_Site,S-1,Wolf_Creek,10/31/2011,12.79,,,199.3,89.67,,89.55,9.78,,32.18,,,3.17,1164.14,367.04,0.31,2140,1655
AMD_Site,S-1,Wolf_Creek,11/28/2011,16.57,,,206.1,95.75,,97.91,10.67,,36,,,3,1312.8,383.48,0.31,2350,1932
AMD_Site,S-1,Wolf_Creek,1/25/2012,24.18,,,169.9,105.3,,85.45,10.24,,27.36,,,7,1041.2,571.64,0.31,2210,1768
AMD_Site,S-1,Wolf_Creek,2/27/2012,25.64,,,188.5,103.2,,88.91,10.59,,2.54,,,3.78,1335.99,438.76,0.31,2250,1754
AMD_Site,S-1,Wolf_Creek,3/29/2012,38.7,,,233.9,140.1,,114.7,13,,37.17,,,4.56,1718.87,658.47,0.31,2930,2406
AMD_Site,S-1,Wolf_Creek,5/24/2012,28.09,,,231.3,102.1,,110.6,12.71,,36.57,,,3.63,1493.68,504.57,0.31,3800,2494
